id,q1_raw,q2_raw,q3_raw,q4_raw,q5_raw,q6_raw,q7_raw,q8_raw,q9_raw,q10_raw,q1_adj,q2_adj,q3_adj,q4_adj,q5_adj,q6_adj,q7_adj,q8_adj,q9_adj,q10_adj,skor_total,label
1,4,3,2,1,2,4,3,0,3,2,4,3,2,1,2,0,1,4,1,2,20,SEDANG
2,4,0,2,4,4,0,1,1,1,2,4,0,2,4,4,4,3,3,3,2,29,TINGGI
3,1,4,4,1,4,0,0,2,3,2,1,4,4,1,4,4,4,2,1,2,27,TINGGI
4,0,1,4,1,0,1,1,1,3,3,0,1,4,1,0,3,3,3,1,1,17,SEDANG
5,2,1,0,4,2,1,1,4,4,0,2,1,0,4,2,3,3,0,0,4,19,SEDANG
6,0,2,2,0,4,2,2,0,2,4,0,2,2,0,4,2,2,4,2,0,18,SEDANG
7,1,4,1,0,0,1,4,1,4,4,1,4,1,0,0,3,0,3,0,0,12,RENDAH
8,2,2,1,2,4,0,1,4,2,3,2,2,1,2,4,4,3,0,2,1,21,SEDANG
9,2,4,1,4,3,0,2,2,4,4,2,4,1,4,3,4,2,2,0,0,22,SEDANG
10,3,2,4,2,4,2,4,0,2,4,3,2,4,2,4,2,0,4,2,0,23,SEDANG
11,1,3,2,0,1,3,0,2,3,1,1,3,2,0,1,1,4,2,1,3,18,SEDANG
12,4,3,2,3,4,2,4,0,3,0,4,3,2,3,4,2,0,4,1,4,27,TINGGI
13,1,1,0,3,1,2,3,4,0,4,1,1,0,3,1,2,1,0,4,0,13,RENDAH
14,1,2,0,2,0,3,3,4,2,0,1,2,0,2,0,1,1,0,2,4,13,RENDAH
15,3,1,0,2,1,3,3,1,3,4,3,1,0,2,1,1,1,3,1,0,13,RENDAH
16,4,1,0,0,1,4,0,4,3,4,4,1,0,0,1,0,4,0,1,0,11,RENDAH
17,4,3,0,0,1,0,0,1,0,0,4,3,0,0,1,4,4,3,4,4,27,TINGGI
18,4,1,2,3,2,3,2,4,3,1,4,1,2,3,2,1,2,0,1,3,19,SEDANG
19,3,4,3,2,4,1,0,2,0,1,3,4,3,2,4,3,4,2,4,3,32,TINGGI
20,4,3,1,3,4,2,0,3,0,1,4,3,1,3,4,2,4,1,4,3,29,TINGGI
21,4,2,0,2,1,2,0,0,0,3,4,2,0,2,1,2,4,4,4,1,24,SEDANG
22,2,3,0,3,3,0,2,4,3,2,2,3,0,3,3,4,2,0,1,2,20,SEDANG
23,3,4,1,4,0,1,2,1,4,4,3,4,1,4,0,3,2,3,0,0,20,SEDANG
24,2,1,1,1,3,3,3,2,1,4,2,1,1,1,3,1,1,2,3,0,15,SEDANG
25,4,2,4,3,0,4,0,2,2,3,4,2,4,3,0,0,4,2,2,1,22,SEDANG
26,0,2,3,1,2,1,3,2,4,2,0,2,3,1,2,3,1,2,0,2,16,SEDANG
27,0,3,4,4,2,0,3,4,4,4,0,3,4,4,2,4,1,0,0,0,18,SEDANG
28,4,4,2,4,2,0,1,1,1,0,4,4,2,4,2,4,3,3,3,4,33,TINGGI
29,4,3,4,4,2,0,1,1,2,0,4,3,4,4,2,4,3,3,2,4,33,TINGGI
30,3,4,4,2,3,2,1,3,4,0,3,4,4,2,3,2,3,1,0,4,26,SEDANG
31,3,2,1,0,1,4,3,4,3,3,3,2,1,0,1,0,1,0,1,1,10,RENDAH
32,4,2,4,0,2,3,3,2,0,2,4,2,4,0,2,1,1,2,4,2,22,SEDANG
33,3,1,4,3,4,0,2,3,1,4,3,1,4,3,4,4,2,1,3,0,25,SEDANG
34,3,3,3,3,3,0,1,2,0,4,3,3,3,3,3,4,3,2,4,0,28,TINGGI
35,0,1,0,0,0,2,2,3,1,0,0,1,0,0,0,2,2,1,3,4,13,RENDAH
36,3,3,1,2,4,4,4,4,1,2,3,3,1,2,4,0,0,0,3,2,18,SEDANG
37,4,0,1,2,4,1,4,4,1,0,4,0,1,2,4,3,0,0,3,4,21,SEDANG
38,3,3,0,0,1,1,4,1,3,3,3,3,0,0,1,3,0,3,1,1,15,SEDANG
39,4,1,1,3,0,0,3,0,0,1,4,1,1,3,0,4,1,4,4,3,25,SEDANG
40,3,0,0,1,1,0,0,1,3,3,3,0,0,1,1,4,4,3,1,1,18,SEDANG
41,4,4,4,2,2,2,2,0,1,0,4,4,4,2,2,2,2,4,3,4,31,TINGGI
42,3,4,0,4,4,2,1,0,4,1,3,4,0,4,4,2,3,4,0,3,27,TINGGI
43,4,4,4,2,3,0,3,2,1,0,4,4,4,2,3,4,1,2,3,4,31,TINGGI
44,2,1,0,0,0,3,4,1,1,4,2,1,0,0,0,1,0,3,3,0,10,RENDAH
45,3,0,3,2,2,4,4,4,3,4,3,0,3,2,2,0,0,0,1,0,11,RENDAH
46,4,3,2,4,4,0,4,1,2,0,4,3,2,4,4,4,0,3,2,4,30,TINGGI
47,2,1,4,2,3,0,0,2,0,3,2,1,4,2,3,4,4,2,4,1,27,TINGGI
48,0,2,4,1,2,4,0,3,2,1,0,2,4,1,2,0,4,1,2,3,19,SEDANG
49,2,1,1,3,2,3,0,4,4,2,2,1,1,3,2,1,4,0,0,2,16,SEDANG
50,1,0,0,0,2,4,4,3,0,2,1,0,0,0,2,0,0,1,4,2,10,RENDAH
51,0,4,4,3,3,1,3,2,1,0,0,4,4,3,3,3,1,2,3,4,27,TINGGI
52,1,2,0,0,3,2,4,2,3,3,1,2,0,0,3,2,0,2,1,1,12,RENDAH
53,2,0,1,2,0,1,2,3,2,4,2,0,1,2,0,3,2,1,2,0,13,RENDAH
54,2,2,2,2,2,0,3,4,2,3,2,2,2,2,2,4,1,0,2,1,18,SEDANG
55,4,4,1,0,4,2,2,0,0,2,4,4,1,0,4,2,2,4,4,2,27,TINGGI
